h3_index,bundesland,tso,population
841e321ffffffff,Bayern,TenneT,234303
841e325ffffffff,Bayern,TenneT,189339
841e329ffffffff,Bayern,TenneT,149471
841e32dffffffff,Bayern,TenneT,171938
841e349ffffffff,Sachsen,50Hertz,435864
841e34dffffffff,Sachsen,50Hertz,152495
841e361ffffffff,Bayern,TenneT,114522
841e365ffffffff,Bayern,TenneT,396380
841e367ffffffff,Bayern,TenneT,199147
841e369ffffffff,Bayern,TenneT,140711
841e36dffffffff,Bayern,TenneT,167744
841f007ffffffff,Mecklenburg-Vorpommern,50Hertz,297750
841f015ffffffff,Mecklenburg-Vorpommern,50Hertz,107998
841f021ffffffff,Mecklenburg-Vorpommern,50Hertz,159320
841f023ffffffff,Mecklenburg-Vorpommern,50Hertz,63548
841f025ffffffff,Niedersachsen,TenneT,189711
841f027ffffffff,Mecklenburg-Vorpommern,50Hertz,56149
841f029ffffffff,Mecklenburg-Vorpommern,50Hertz,267534
841f02bffffffff,Mecklenburg-Vorpommern,50Hertz,110462
841f02dffffffff,Schleswig-Holstein,TenneT,296409
841f031ffffffff,Mecklenburg-Vorpommern,50Hertz,51562
841f033ffffffff,Mecklenburg-Vorpommern,50Hertz,79480
841f035ffffffff,Mecklenburg-Vorpommern,50Hertz,56018
841f037ffffffff,Mecklenburg-Vorpommern,50Hertz,69756
841f039ffffffff,Mecklenburg-Vorpommern,50Hertz,52518
841f03bffffffff,Mecklenburg-Vorpommern,50Hertz,121678
841f03dffffffff,Mecklenburg-Vorpommern,50Hertz,84884
841f061ffffffff,Schleswig-Holstein,TenneT,443094
841f063ffffffff,Schleswig-Holstein,TenneT,96336
841f065ffffffff,Schleswig-Holstein,TenneT,227100
841f067ffffffff,Schleswig-Holstein,TenneT,200863
841f069ffffffff,Schleswig-Holstein,TenneT,54447
841f06dffffffff,Schleswig-Holstein,TenneT,187771
841f0e5ffffffff,Mecklenburg-Vorpommern,50Hertz,52279
841f0edffffffff,Mecklenburg-Vorpommern,50Hertz,46669
841f101ffffffff,Niedersachsen,TenneT,129855
841f103ffffffff,Niedersachsen,TenneT,325987
841f105ffffffff,Niedersachsen,TenneT,498954
841f107ffffffff,Nordrhein-Westfalen,Amprion,633108
841f109ffffffff,Niedersachsen,TenneT,258229
841f10bffffffff,Niedersachsen,TenneT,154710
841f10dffffffff,Niedersachsen,TenneT,230350
841f111ffffffff,Niedersachsen,TenneT,127412
841f113ffffffff,Sachsen-Anhalt,50Hertz,80755
841f115ffffffff,Niedersachsen,TenneT,970358
841f117ffffffff,Niedersachsen,TenneT,637298
841f119ffffffff,Niedersachsen,TenneT,106424
841f11bffffffff,Niedersachsen,TenneT,95303
841f11dffffffff,Niedersachsen,TenneT,141671
841f121ffffffff,Nordrhein-Westfalen,Amprion,588998
841f123ffffffff,Nordrhein-Westfalen,Amprion,310532
841f125ffffffff,Nordrhein-Westfalen,Amprion,1039913
841f127ffffffff,Nordrhein-Westfalen,Amprion,236673
841f129ffffffff,Nordrhein-Westfalen,Amprion,548954
841f12bffffffff,Nordrhein-Westfalen,Amprion,823131
841f12dffffffff,Nordrhein-Westfalen,Amprion,1581969
841f131ffffffff,Niedersachsen,TenneT,161699
841f133ffffffff,Niedersachsen,TenneT,167781
841f135ffffffff,Hessen,TenneT,207402
841f137ffffffff,Niedersachsen,TenneT,314937
841f139ffffffff,Niedersachsen,TenneT,259343
841f13bffffffff,Niedersachsen,TenneT,352696
841f13dffffffff,Nordrhein-Westfalen,TenneT,300886
841f141ffffffff,Niedersachsen,TenneT,230028
841f143ffffffff,Niedersachsen,TenneT,468763
841f145ffffffff,Niedersachsen,TenneT,143370
841f147ffffffff,Niedersachsen,TenneT,180098
841f149ffffffff,Niedersachsen,TenneT,169986
841f151ffffffff,Niedersachsen,TenneT,230856
841f153ffffffff,Niedersachsen,TenneT,943992
841f155ffffffff,Niedersachsen,TenneT,689746
841f157ffffffff,Niedersachsen,TenneT,131273
841f159ffffffff,Niedersachsen,TenneT,166938
841f15bffffffff,Schleswig-Holstein,TenneT,1700447
841f15dffffffff,Niedersachsen,TenneT,231960
841f163ffffffff,Nordrhein-Westfalen,Amprion,392283
841f167ffffffff,Nordrhein-Westfalen,Amprion,328946
841f16bffffffff,Niedersachsen,TenneT,174985
841f181ffffffff,Brandenburg,50Hertz,75357
841f183ffffffff,Brandenburg,50Hertz,57534
841f185ffffffff,Sachsen-Anhalt,50Hertz,121525
841f187ffffffff,Brandenburg,50Hertz,74621
841f189ffffffff,Brandenburg,50Hertz,698857
841f18bffffffff,Brandenburg,50Hertz,1610988
841f18dffffffff,Brandenburg,50Hertz,47500
841f195ffffffff,Brandenburg,50Hertz,160735
841f19dffffffff,Brandenburg,50Hertz,91582
841f1a1ffffffff,Sachsen,50Hertz,413165
841f1a3ffffffff,Sachsen,50Hertz,274629
841f1a5ffffffff,Thüringen,50Hertz,301045
841f1a7ffffffff,Sachsen,50Hertz,422748
841f1a9ffffffff,Sachsen-Anhalt,50Hertz,709693
841f1abffffffff,Sachsen,50Hertz,319711
841f1adffffffff,Sachsen-Anhalt,50Hertz,183730
841f1b1ffffffff,Sachsen,50Hertz,299950
841f1b3ffffffff,Sachsen,50Hertz,216406
841f1b5ffffffff,Sachsen,50Hertz,695570
841f1b7ffffffff,Sachsen,50Hertz,117640
841f1b9ffffffff,Brandenburg,50Hertz,122333
841f1bbffffffff,Sachsen,50Hertz,120509
841f1bdffffffff,Sachsen,50Hertz,199627
841f1c1ffffffff,Sachsen-Anhalt,50Hertz,45006
841f1c3ffffffff,Brandenburg,50Hertz,71744
841f1c5ffffffff,Sachsen-Anhalt,50Hertz,83001
841f1c7ffffffff,Sachsen-Anhalt,50Hertz,141829
841f1c9ffffffff,Brandenburg,50Hertz,51299
841f1cbffffffff,Brandenburg,50Hertz,54189
841f1cdffffffff,Sachsen-Anhalt,50Hertz,57958
841f1d1ffffffff,Brandenburg,50Hertz,102557
841f1d5ffffffff,Brandenburg,50Hertz,2488725
841f1d7ffffffff,Brandenburg,50Hertz,148672
841f1d9ffffffff,Brandenburg,50Hertz,46832
841f1dbffffffff,Brandenburg,50Hertz,45702
841f1ddffffffff,Brandenburg,50Hertz,55931
841f1e1ffffffff,Sachsen-Anhalt,50Hertz,208034
841f1e3ffffffff,Sachsen-Anhalt,50Hertz,228629
841f1e5ffffffff,Sachsen-Anhalt,50Hertz,147723
841f1e7ffffffff,Sachsen-Anhalt,50Hertz,147985
841f1e9ffffffff,Sachsen-Anhalt,50Hertz,121686
841f1ebffffffff,Sachsen-Anhalt,50Hertz,355196
841f1edffffffff,Sachsen-Anhalt,50Hertz,204821
841f315ffffffff,Schleswig-Holstein,TenneT,58805
841f317ffffffff,Schleswig-Holstein,TenneT,196761
841f333ffffffff,Schleswig-Holstein,TenneT,122845
841f337ffffffff,Niedersachsen,TenneT,88614
841f811ffffffff,Baden-Württemberg,TransnetBW,351803
841f813ffffffff,Baden-Württemberg,TransnetBW,224506
841f815ffffffff,Baden-Württemberg,TransnetBW,228850
841f819ffffffff,Baden-Württemberg,TransnetBW,201614
841f81bffffffff,Baden-Württemberg,TransnetBW,642302
841f81dffffffff,Baden-Württemberg,TransnetBW,441661
841f839ffffffff,Baden-Württemberg,TransnetBW,282124
841f853ffffffff,Baden-Württemberg,TransnetBW,544322
841f859ffffffff,Rheinland-Pfalz,Amprion,481384
841f85bffffffff,Rheinland-Pfalz,Amprion,314284
841f881ffffffff,Bayern,TenneT,66877
841f889ffffffff,Bayern,TenneT,262787
841f88bffffffff,Bayern,TenneT,258248
841f88dffffffff,Bayern,Amprion,233042
841f899ffffffff,Bayern,TenneT,239258
841f89dffffffff,Bayern,TenneT,267540
841f8c1ffffffff,Bayern,Amprion,495955
841f8c3ffffffff,Bayern,Amprion,513774
841f8c5ffffffff,Baden-Württemberg,TransnetBW,238730
841f8c7ffffffff,Bayern,Amprion,220028
841f8c9ffffffff,Baden-Württemberg,TransnetBW,485711
841f8cbffffffff,Bayern,Amprion,214277
841f8cdffffffff,Baden-Württemberg,TransnetBW,214632
841f8d1ffffffff,Bayern,TenneT,401841
841f8d3ffffffff,Bayern,TenneT,268829
841f8d5ffffffff,Bayern,TenneT,1536536
841f8d7ffffffff,Bayern,TenneT,1084373
841f8d9ffffffff,Bayern,TenneT,340158
841f8dbffffffff,Bayern,TenneT,184231
841f8ddffffffff,Bayern,Amprion,357072
841f8e9ffffffff,Baden-Württemberg,TransnetBW,339844
841f8ebffffffff,Baden-Württemberg,TransnetBW,334018
841fa0bffffffff,Nordrhein-Westfalen,Amprion,640854
841fa11ffffffff,Nordrhein-Westfalen,Amprion,877591
841fa13ffffffff,Rheinland-Pfalz,Amprion,317443
841fa15ffffffff,Rheinland-Pfalz,Amprion,124278
841fa17ffffffff,Rheinland-Pfalz,Amprion,524904
841fa19ffffffff,Nordrhein-Westfalen,Amprion,2117597
841fa1bffffffff,Nordrhein-Westfalen,Amprion,461366
841fa1dffffffff,Nordrhein-Westfalen,Amprion,686021
841fa31ffffffff,Rheinland-Pfalz,Amprion,296869
841fa33ffffffff,Rheinland-Pfalz,Amprion,193686
841fa37ffffffff,Saarland,Amprion,629182
841fa39ffffffff,Rheinland-Pfalz,Amprion,104828
841fa3bffffffff,Rheinland-Pfalz,Amprion,156100
841fa51ffffffff,Nordrhein-Westfalen,Amprion,821288
841fa53ffffffff,Nordrhein-Westfalen,Amprion,3074186
841fa57ffffffff,Nordrhein-Westfalen,Amprion,1161955
841fa59ffffffff,Nordrhein-Westfalen,Amprion,248330
841fa5bffffffff,Nordrhein-Westfalen,Amprion,757553
841fa81ffffffff,Bayern,TenneT,208554
841fa83ffffffff,Bayern,TenneT,198696
841fa85ffffffff,Bayern,TenneT,204891
841fa87ffffffff,Bayern,TenneT,364124
841fa89ffffffff,Hessen,TenneT,223799
841fa8bffffffff,Bayern,TenneT,130134
841fa8dffffffff,Bayern,TenneT,455794
841fa91ffffffff,Bayern,TenneT,195614
841fa93ffffffff,Bayern,TenneT,141657
841fa95ffffffff,Bayern,TenneT,266958
841fa97ffffffff,Bayern,TenneT,197848
841fa99ffffffff,Thüringen,50Hertz,153540
841fa9bffffffff,Sachsen,50Hertz,222234
841fa9dffffffff,Bayern,TenneT,244600
841faa1ffffffff,Baden-Württemberg,TransnetBW,716721
841faa3ffffffff,Baden-Württemberg,TransnetBW,242570
841faa5ffffffff,Baden-Württemberg,TransnetBW,720748
841faa7ffffffff,Baden-Württemberg,TransnetBW,1887171
841faa9ffffffff,Baden-Württemberg,TransnetBW,301616
841faabffffffff,Baden-Württemberg,TransnetBW,178357
841faadffffffff,Baden-Württemberg,TransnetBW,946207
841fab1ffffffff,Bayern,TenneT,392744
841fab3ffffffff,Bayern,TenneT,202832
841fab5ffffffff,Baden-Württemberg,TransnetBW,196153
841fab7ffffffff,Bayern,TenneT,154567
841fab9ffffffff,Bayern,TenneT,212649
841fabbffffffff,Bayern,TenneT,993770
841fabdffffffff,Bayern,TenneT,126893
841fac1ffffffff,Hessen,TenneT,237527
841fac3ffffffff,Hessen,TenneT,160487
841fac5ffffffff,Hessen,TenneT,469672
841fac7ffffffff,Hessen,TenneT,200893
841fac9ffffffff,Hessen,TenneT,127027
841facbffffffff,Hessen,TenneT,415191
841facdffffffff,Nordrhein-Westfalen,Amprion,276155
841fad1ffffffff,Thüringen,50Hertz,195721
841fad3ffffffff,Thüringen,50Hertz,413682
841fad5ffffffff,Thüringen,50Hertz,151558
841fad7ffffffff,Thüringen,50Hertz,183676
841fad9ffffffff,Thüringen,50Hertz,161729
841fadbffffffff,Thüringen,50Hertz,130664
841faddffffffff,Hessen,TenneT,138775
841fae1ffffffff,Rheinland-Pfalz,Amprion,1050854
841fae3ffffffff,Hessen,Amprion,808153
841fae5ffffffff,Rheinland-Pfalz,Amprion,287662
841fae7ffffffff,Baden-Württemberg,TransnetBW,1301015
841fae9ffffffff,Hessen,Amprion,396649
841faebffffffff,Hessen,Amprion,1792302
841faedffffffff,Rheinland-Pfalz,Amprion,262736
