h3_index,landkreis,bundesland,tso,lat,lng
841e321ffffffff,Landkreis Passau,Bayern,TenneT,48.561690,13.333665
841e325ffffffff,Landkreis Rottal-Inn,Bayern,TenneT,48.277494,12.885081
841e329ffffffff,Landkreis Regen,Bayern,TenneT,48.934946,13.189561
841e32dffffffff,Landkreis Dingolfing-Landau,Bayern,TenneT,48.651298,12.739524
841e349ffffffff,Erzgebirgskreis,Sachsen,50Hertz,50.684948,13.059454
841e34dffffffff,Erzgebirgskreis,Sachsen,50Hertz,50.405973,12.599155
841e361ffffffff,Landkreis Schwandorf,Bayern,TenneT,49.392369,12.444244
841e365ffffffff,Landkreis Regensburg,Bayern,TenneT,49.107532,11.995616
841e367ffffffff,Landkreis Straubing-Bogen,Bayern,TenneT,49.022929,12.592584
841e369ffffffff,Landkreis Neustadt an der Waldnaab,Bayern,TenneT,49.759598,12.294485
841e36dffffffff,Landkreis Amberg-Sulzbach,Bayern,TenneT,49.475317,11.844453
841f007ffffffff,Rostock,Mecklenburg-Vorpommern,50Hertz,54.126912,12.136571
841f015ffffffff,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern,50Hertz,54.319493,13.266492
841f021ffffffff,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern,50Hertz,53.582754,11.183695
841f023ffffffff,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern,50Hertz,53.513095,11.819673
841f025ffffffff,Landkreis Lüneburg,Niedersachsen,TenneT,53.306853,10.714709
841f027ffffffff,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern,50Hertz,53.239087,11.347240
841f029ffffffff,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern,50Hertz,53.924060,11.018511
841f02bffffffff,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern,50Hertz,53.856124,11.657644
841f02dffffffff,Kreis Herzogtum Lauenburg,Schleswig-Holstein,TenneT,53.648787,10.548074
841f031ffffffff,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,50Hertz,53.709272,12.936480
841f033ffffffff,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,50Hertz,53.630334,13.575865
841f035ffffffff,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,50Hertz,53.439795,12.455852
841f037ffffffff,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,50Hertz,53.362845,13.092076
841f039ffffffff,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern,50Hertz,54.053349,12.779291
841f03bffffffff,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern,50Hertz,53.976090,13.421975
841f03dffffffff,Landkreis Rostock,Mecklenburg-Vorpommern,50Hertz,53.784533,12.297020
841f061ffffffff,Kiel,Schleswig-Holstein,TenneT,54.325544,10.209808
841f063ffffffff,Kreis Ostholstein,Schleswig-Holstein,TenneT,54.262996,10.851668
841f065ffffffff,Kreis Steinburg,Schleswig-Holstein,TenneT,54.049021,9.741610
841f067ffffffff,Kreis Segeberg,Schleswig-Holstein,TenneT,53.988353,10.379781
841f069ffffffff,Kreis Schleswig-Flensburg,Schleswig-Holstein,TenneT,54.660351,10.038134
841f06dffffffff,Kreis Rendsburg-Eckernf,Schleswig-Holstein,TenneT,54.384452,9.568556
841f0e5ffffffff,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern,50Hertz,53.547711,14.215015
841f0edffffffff,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern,50Hertz,53.895127,14.064460
841f101ffffffff,Landkreis Diepholz,Niedersachsen,TenneT,52.523324,8.716219
841f103ffffffff,Region Hannover,Niedersachsen,TenneT,52.464495,9.337365
841f105ffffffff,Landkreis Osnabrück,Niedersachsen,TenneT,52.236133,8.270618
841f107ffffffff,Kreis Herford,Nordrhein-Westfalen,Amprion,52.179001,8.888055
841f109ffffffff,Landkreis Oldenburg,Niedersachsen,TenneT,52.865294,8.542743
841f10bffffffff,Landkreis Nienburg/Weser,Niedersachsen,TenneT,52.808239,9.166741
841f10dffffffff,Landkreis Vechta,Niedersachsen,TenneT,52.578673,8.095994
841f111ffffffff,Landkreis Gifhorn,Niedersachsen,TenneT,52.683569,10.417063
841f113ffffffff,Altmarkkreis Salzwedel,Sachsen-Anhalt,50Hertz,52.615918,11.043092
841f115ffffffff,Region Hannover,Niedersachsen,TenneT,52.402165,9.959288
841f117ffffffff,Braunschweig,Niedersachsen,TenneT,52.336318,10.581843
841f119ffffffff,Landkreis Uelzen,Niedersachsen,TenneT,53.028474,10.250671
841f11bffffffff,Landkreis Lüchow-Dannenberg,Niedersachsen,TenneT,52.962561,10.879708
841f11dffffffff,Landkreis Heidekreis,Niedersachsen,TenneT,52.747670,9.791563
841f121ffffffff,Kreis Soest,Nordrhein-Westfalen,Amprion,51.601281,8.004000
841f123ffffffff,Kreis Paderborn,Nordrhein-Westfalen,Amprion,51.544020,8.614985
841f125ffffffff,Hagen,Nordrhein-Westfalen,Amprion,51.309164,7.569201
841f127ffffffff,Hochsauerlandkreis,Nordrhein-Westfalen,Amprion,51.253510,8.176481
841f129ffffffff,Kreis Warendorf,Nordrhein-Westfalen,Amprion,51.946721,7.829910
841f12bffffffff,Kreis Gwtersloh,Nordrhein-Westfalen,Amprion,51.891245,8.443608
841f12dffffffff,Kreis Recklinghausen,Nordrhein-Westfalen,Amprion,51.655144,7.394068
841f131ffffffff,Landkreis Northeim,Niedersachsen,TenneT,51.769975,9.673759
841f133ffffffff,Landkreis Osterode am Harz,Niedersachsen,TenneT,51.704142,10.289932
841f135ffffffff,Landkreis Kassel,Hessen,TenneT,51.483340,9.226887
841f137ffffffff,Landkreis Göttingen,Niedersachsen,TenneT,51.419222,9.839569
841f139ffffffff,Landkreis Hameln-Pyrmont,Niedersachsen,TenneT,52.118403,9.506365
841f13bffffffff,Landkreis Hildesheim,Niedersachsen,TenneT,52.054319,10.125404
841f13dffffffff,Kreis Höxter,Nordrhein-Westfalen,TenneT,51.832336,9.058271
841f141ffffffff,Landkreis Leer,Niedersachsen,TenneT,53.256671,7.741764
841f143ffffffff,Landkreis Wesermarsch,Niedersachsen,TenneT,53.204901,8.367606
841f145ffffffff,Landkreis Emsland,Niedersachsen,TenneT,52.968948,7.297804
841f147ffffffff,Landkreis Cloppenburg,Niedersachsen,TenneT,52.918856,7.919716
841f149ffffffff,Landkreis Wittmund,Niedersachsen,TenneT,53.592111,7.562117
841f151ffffffff,Landkreis Stade,Niedersachsen,TenneT,53.431616,9.451203
841f153ffffffff,Landkreis Harburg,Niedersachsen,TenneT,53.371024,10.082646
841f155ffffffff,Landkreis Osterholz,Niedersachsen,TenneT,53.149626,8.994470
841f157ffffffff,Landkreis Rotenburg (Wmmme),Niedersachsen,TenneT,53.090824,9.622208
841f159ffffffff,Landkreis Stade,Niedersachsen,TenneT,53.770037,9.278526
841f15bffffffff,Kreis Pinneberg,Schleswig-Holstein,TenneT,53.711209,9.912966
841f15dffffffff,Landkreis Cuxhaven,Niedersachsen,TenneT,53.488646,8.820534
841f163ffffffff,Kreis Steinfurt,Nordrhein-Westfalen,Amprion,52.289820,7.654194
841f167ffffffff,Kreis Coesfeld,Nordrhein-Westfalen,Amprion,51.998787,7.217315
841f16bffffffff,Landkreis Emsland,Niedersachsen,TenneT,52.630565,7.476832
841f181ffffffff,Landkreis Teltow-Fleming,Brandenburg,50Hertz,52.037460,13.075442
841f183ffffffff,Landkreis Dahme-Spreewald,Brandenburg,50Hertz,51.953824,13.698949
841f185ffffffff,Landkreis Wittenberg,Sachsen-Anhalt,50Hertz,51.762813,12.605984
841f187ffffffff,Landkreis Elbe-Elster,Brandenburg,50Hertz,51.681084,13.226510
841f189ffffffff,Landkreis Potsdam-Mittelmark,Brandenburg,50Hertz,52.391531,12.922863
841f18bffffffff,Landkreis Dahme-Spreewald,Brandenburg,50Hertz,52.309554,13.549515
841f18dffffffff,Landkreis Potsdam-Mittelmark,Brandenburg,50Hertz,52.117519,12.451829
841f195ffffffff,Landkreis Spree-Neiee,Brandenburg,50Hertz,51.866605,14.322205
841f19dffffffff,Landkreis Oder-Spree,Brandenburg,50Hertz,52.223975,14.175948
841f1a1ffffffff,Landkreis Leipzig,Sachsen,50Hertz,51.128046,12.295297
841f1a3ffffffff,Landkreis Mittelsachsen,Sachsen,50Hertz,51.046514,12.909777
841f1a5ffffffff,Saale-Holzland-Kreis,Thüringen,50Hertz,50.847852,11.836514
841f1a7ffffffff,Landkreis Zwickau,Sachsen,50Hertz,50.768143,12.447963
841f1a9ffffffff,Saalekreis,Sachsen-Anhalt,50Hertz,51.485666,12.141138
841f1abffffffff,Landkreis Leipzig,Sachsen,50Hertz,51.405808,12.758627
841f1adffffffff,Burgenlandkreis,Sachsen-Anhalt,50Hertz,51.206072,11.680896
841f1b1ffffffff,Landkreis Bautzen,Sachsen,50Hertz,51.235487,13.993375
841f1b3ffffffff,Landkreis Bautzen,Sachsen,50Hertz,51.145017,14.610347
841f1b5ffffffff,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen,50Hertz,50.961470,13.524193
841f1b7ffffffff,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen,50Hertz,50.872908,14.138405
841f1b9ffffffff,Landkreis Elbe-Elster,Brandenburg,50Hertz,51.595797,13.846896
841f1bbffffffff,Landkreis Bautzen,Sachsen,50Hertz,51.506948,14.466998
841f1bdffffffff,Landkreis Meiien,Sachsen,50Hertz,51.322416,13.376087
841f1c1ffffffff,Landkreis Stendal,Sachsen-Anhalt,50Hertz,52.819978,12.138900
841f1c3ffffffff,Landkreis Ostprignitz-Ruppin,Brandenburg,50Hertz,52.743284,12.768752
841f1c5ffffffff,Landkreis Stendal,Sachsen-Anhalt,50Hertz,52.544703,11.669501
841f1c7ffffffff,Landkreis Jerichower Land,Sachsen-Anhalt,50Hertz,52.469911,12.296142
