run,config,area,seed,attempt,num_steps,batch_size,ctx_days,lr,seconds
v2,G1_C1,_all,42,1,300,8,63,1e-5,433
v2,G1_C2.1,_all,42,1,300,8,63,1e-5,446
v2,G1_C2.2,_all,42,1,300,8,63,1e-5,446
v2,G1_C2.3,_all,42,1,300,8,63,1e-5,1102
v2,G1_C3.1,_all,42,1,300,8,63,1e-5,430
v2,G1_C3.2,_all,42,1,300,8,63,1e-5,429
v2,G1_C3.3,_all,42,1,300,8,63,1e-5,430
v2,G1_C3.4,_all,42,1,300,8,63,1e-5,436
v2,G1_C4,_all,42,1,300,8,63,1e-5,518
v2,G2_C1,50hertz,42,1,300,8,63,1e-5,424
v2,G2_C1,tennet,42,1,300,8,63,1e-5,424
v2,G2_C1,amprion,42,1,300,8,63,1e-5,424
v2,G2_C1,transnetbw,42,1,300,8,63,1e-5,425
v2,G2_C1,lu,42,1,300,8,63,1e-5,425
v2,G2_C2.1,50hertz,42,1,300,8,63,1e-5,445
v2,G2_C2.1,tennet,42,1,300,8,63,1e-5,444
v2,G2_C2.1,amprion,42,1,300,8,63,1e-5,444
v2,G2_C2.1,transnetbw,42,1,300,8,63,1e-5,444
v2,G2_C2.1,lu,42,1,300,8,63,1e-5,445
v2,G2_C2.2,50hertz,42,1,300,8,63,1e-5,445
v2,G2_C2.2,tennet,42,1,300,8,63,1e-5,443
v2,G2_C2.2,amprion,42,1,300,8,63,1e-5,446
v2,G2_C2.2,transnetbw,42,1,300,8,63,1e-5,446
v2,G2_C2.2,lu,42,1,300,8,63,1e-5,446
v2,G2_C2.3,50hertz,42,1,300,8,63,1e-5,1103
v2,G2_C2.3,tennet,42,1,300,8,63,1e-5,1100
v2,G2_C2.3,amprion,42,1,300,8,63,1e-5,1103
v2,G2_C2.3,transnetbw,42,1,300,8,63,1e-5,1102
v2,G2_C2.3,lu,42,1,300,8,63,1e-5,446
v2,G2_C3.1,50hertz,42,1,300,8,63,1e-5,430
v2,G2_C3.1,tennet,42,1,300,8,63,1e-5,430
v2,G2_C3.1,amprion,42,1,300,8,63,1e-5,431
v2,G2_C3.1,transnetbw,42,1,300,8,63,1e-5,430
v2,G2_C3.1,lu,42,1,300,8,63,1e-5,430
v2,G2_C3.2,50hertz,42,1,300,8,63,1e-5,430
v2,G2_C3.2,tennet,42,1,300,8,63,1e-5,433
v2,G2_C3.2,amprion,42,1,300,8,63,1e-5,436
v2,G2_C3.2,transnetbw,42,1,300,8,63,1e-5,429
v2,G2_C3.2,lu,42,1,300,8,63,1e-5,426
v2,G2_C3.3,50hertz,42,1,300,8,63,1e-5,429
v2,G2_C3.3,tennet,42,1,300,8,63,1e-5,430
v2,G2_C3.3,amprion,42,1,300,8,63,1e-5,431
v2,G2_C3.3,transnetbw,42,1,300,8,63,1e-5,431
v2,G2_C3.3,lu,42,1,300,8,63,1e-5,427
v2,G2_C3.4,50hertz,42,1,300,8,63,1e-5,436
v2,G2_C3.4,tennet,42,1,300,8,63,1e-5,437
v2,G2_C3.4,amprion,42,1,300,8,63,1e-5,438
v2,G2_C3.4,transnetbw,42,1,300,8,63,1e-5,438
v2,G2_C3.4,lu,42,1,300,8,63,1e-5,430
v2,G2_C4,50hertz,42,1,300,8,63,1e-5,520
v2,G2_C4,tennet,42,1,300,8,63,1e-5,517
v2,G2_C4,amprion,42,1,300,8,63,1e-5,519
v2,G2_C4,transnetbw,42,1,300,8,63,1e-5,519
v2,G2_C4,lu,42,1,300,8,63,1e-5,474
v2,G2_C5,50hertz,42,1,300,8,63,1e-5,1027
v2,G2_C5,tennet,42,1,300,8,63,1e-5,827
v2,G2_C5,amprion,42,1,300,8,63,1e-5,828
v2,G2_C5,transnetbw,42,1,300,8,63,1e-5,834
v2,G3_C1,_all,42,1,300,8,63,1e-5,576
v2,G3_C2.1,_all,42,1,300,8,63,1e-5,1524
v2,G3_C2.2,_all,42,1,300,8,63,1e-5,1528
v2,G3_C2.3,_all,42,2,150,4,45,1e-5,2180
v2,G3_C3.1,_all,42,1,300,8,63,1e-5,522
v2,G3_C3.2,_all,42,1,300,8,63,1e-5,509
v2,G3_C3.3,_all,42,1,300,8,63,1e-5,502
v2,G3_C3.4,_all,42,1,300,8,63,1e-5,746
v2,G3_C5,_all,42,1,300,8,63,1e-5,4308
v2,G2_C5,lu,42,1,300,8,63,1e-5,830
v2,G3_C4,_all,42,1,300,8,63,1e-5,2296
v2,G1_C6,_all,42,1,300,8,63,1e-5,522
v2,G2_C6,50hertz,42,1,300,8,63,1e-5,521
v2,G2_C6,tennet,42,1,300,8,63,1e-5,522
v2,G2_C6,amprion,42,1,300,8,63,1e-5,519
v2,G2_C6,transnetbw,42,1,300,8,63,1e-5,521
v2,G2_C6,lu,42,1,300,8,63,1e-5,518
v2,G3_C6,_all,42,1,300,8,63,1e-5,2147
