config,area,period,output,metric,value
G1_C1,de_lu,2024,point,rmse,2775.8043860652915
G1_C1,de_lu,2024,point,r2,0.9095788831940312
G1_C1,de_lu,2024,point,mae,1790.4877688877232
G1_C1,de_lu,2024,point,smape,3.4065197960738196
G1_C1,de_lu,2024,quantile,wis,1093.5174244218351
G1_C1,de_lu,2024,quantile,lqs,546.7587122109176
G1_C1,de_lu,2024,quantile,mae_median,1779.335150383083
G1_C1,de_lu,2024,quantile,cov50,47.47267759562842
G1_C1,de_lu,2024,quantile,cov95,94.86566484517304
G1_C1,de_lu,2024,ensemble,wis,1093.5174244218351
G1_C1,de_lu,2024,ensemble,lqs,546.7587122109176
G1_C1,de_lu,2024,ensemble,mae_median,1779.335150383083
G1_C1,de_lu,2024,ensemble,cov50,47.47267759562842
G1_C1,de_lu,2024,ensemble,cov95,94.86566484517304
G1_C1,de_lu,2024,ensemble,crps,1316.8826978560635
G1_C1,de_lu,2024,ensemble,energy_score,15072.386950327247
G1_C1,de_lu,2025,point,rmse,2686.78575235949
G1_C1,de_lu,2025,point,r2,0.915712439691584
G1_C1,de_lu,2025,point,mae,1838.365540788677
G1_C1,de_lu,2025,point,smape,3.4440779564933472
G1_C1,de_lu,2025,quantile,wis,1102.2442685028539
G1_C1,de_lu,2025,quantile,lqs,551.122134251427
G1_C1,de_lu,2025,quantile,mae_median,1814.812136946918
G1_C1,de_lu,2025,quantile,cov50,47.851027397260275
G1_C1,de_lu,2025,quantile,cov95,94.7431506849315
G1_C1,de_lu,2025,ensemble,wis,1102.2442685028539
G1_C1,de_lu,2025,ensemble,lqs,551.122134251427
G1_C1,de_lu,2025,ensemble,mae_median,1814.812136946918
G1_C1,de_lu,2025,ensemble,cov50,47.851027397260275
G1_C1,de_lu,2025,ensemble,cov95,94.7431506849315
G1_C1,de_lu,2025,ensemble,crps,1334.5296167591027
G1_C1,de_lu,2025,ensemble,energy_score,15407.55562154001
G1_C1,de_lu,2026H1,point,rmse,3312.6275243453033
G1_C1,de_lu,2026H1,point,r2,0.8851819652220162
G1_C1,de_lu,2026H1,point,mae,2143.843820520608
G1_C1,de_lu,2026H1,point,smape,3.925495430988757
G1_C1,de_lu,2026H1,quantile,wis,1332.601176546971
G1_C1,de_lu,2026H1,quantile,lqs,666.3005882734853
G1_C1,de_lu,2026H1,quantile,mae_median,2122.274041459635
G1_C1,de_lu,2026H1,quantile,cov50,47.99205043859649
G1_C1,de_lu,2026H1,quantile,cov95,92.77686403508771
G1_C1,de_lu,2026H1,ensemble,wis,1332.601176546971
G1_C1,de_lu,2026H1,ensemble,lqs,666.3005882734853
G1_C1,de_lu,2026H1,ensemble,mae_median,2122.274041459635
G1_C1,de_lu,2026H1,ensemble,cov50,47.99205043859649
G1_C1,de_lu,2026H1,ensemble,cov95,92.77686403508771
G1_C1,de_lu,2026H1,ensemble,crps,1597.4792392560535
G1_C1,de_lu,2026H1,ensemble,energy_score,18253.41977528523
G1_C1,de_lu,overall,point,rmse,2840.1951423917635
G1_C1,de_lu,overall,point,r2,0.9082794589290288
G1_C1,de_lu,overall,point,mae,1871.1055566476853
G1_C1,de_lu,overall,point,smape,3.5113816591091513
G1_C1,de_lu,overall,quantile,wis,1138.2807635074437
G1_C1,de_lu,overall,quantile,lqs,569.140381753722
G1_C1,de_lu,overall,quantile,mae_median,1853.033691197846
G1_C1,de_lu,overall,quantile,cov50,47.71847867119668
G1_C1,de_lu,overall,quantile,cov95,94.45545488863722
G1_C1,de_lu,overall,ensemble,wis,1138.2807635074437
G1_C1,de_lu,overall,ensemble,lqs,569.140381753722
G1_C1,de_lu,overall,ensemble,mae_median,1853.033691197846
G1_C1,de_lu,overall,ensemble,cov50,47.71847867119668
G1_C1,de_lu,overall,ensemble,cov95,94.45545488863722
G1_C1,de_lu,overall,ensemble,crps,1372.4792999992208
G1_C1,de_lu,overall,ensemble,energy_score,15758.517815996864
G1_C2.1,de_lu,2024,point,rmse,2915.104352345202
G1_C2.1,de_lu,2024,point,r2,0.9002758454300243
G1_C2.1,de_lu,2024,point,mae,1870.306982457081
G1_C2.1,de_lu,2024,point,smape,3.5481199688543943
G1_C2.1,de_lu,2024,quantile,wis,1138.2892565079005
G1_C2.1,de_lu,2024,quantile,lqs,569.1446282539504
G1_C2.1,de_lu,2024,quantile,mae_median,1839.3429076608604
G1_C2.1,de_lu,2024,quantile,cov50,50.90220856102003
G1_C2.1,de_lu,2024,quantile,cov95,95.30111566484517
G1_C2.1,de_lu,2024,ensemble,wis,1138.2892565079005
G1_C2.1,de_lu,2024,ensemble,lqs,569.1446282539504
G1_C2.1,de_lu,2024,ensemble,mae_median,1839.3429076608604
G1_C2.1,de_lu,2024,ensemble,cov50,50.90220856102003
G1_C2.1,de_lu,2024,ensemble,cov95,95.30111566484517
G1_C2.1,de_lu,2024,ensemble,crps,1370.4023681031667
