run,config,refit_idx,step_idx,loss,grad_norm,learning_rate,epoch
v2,G1_C1,1,1,1.8667,3.7626078128814697,6.700000000000001e-06,0.33
v2,G1_C1,1,2,1.7865,3.671889066696167,3.366666666666667e-06,0.67
v2,G1_C1,1,3,1.8091,4.355307102203369,3.333333333333334e-08,1.0
v2,G1_C1,2,4,2.0465,2.5530812740325928,6.700000000000001e-06,0.33
v2,G1_C1,2,5,1.929,3.661259412765503,3.366666666666667e-06,0.67
v2,G1_C1,2,6,1.7553,3.517504930496216,3.333333333333334e-08,1.0
v2,G1_C1,3,7,1.9245,3.3112363815307617,6.700000000000001e-06,0.33
v2,G1_C1,3,8,2.041,3.7317142486572266,3.366666666666667e-06,0.67
v2,G1_C1,3,9,1.8047,7.724609851837158,3.333333333333334e-08,1.0
v2,G1_C1,4,10,2.0955,4.188372611999512,6.700000000000001e-06,0.33
v2,G1_C1,4,11,1.9498,3.0295894145965576,3.366666666666667e-06,0.67
v2,G1_C1,4,12,1.9104,2.4092023372650146,3.333333333333334e-08,1.0
v2,G1_C1,5,13,2.1235,3.332486391067505,6.700000000000001e-06,0.33
v2,G1_C1,5,14,2.0798,5.145839691162109,3.366666666666667e-06,0.67
v2,G1_C1,5,15,1.9214,3.7753829956054688,3.333333333333334e-08,1.0
v2,G1_C1,6,16,2.1371,6.262132167816162,6.700000000000001e-06,0.33
v2,G1_C1,6,17,2.0469,3.762098550796509,3.366666666666667e-06,0.67
v2,G1_C1,6,18,1.939,3.226266860961914,3.333333333333334e-08,1.0
v2,G1_C1,7,19,2.1681,4.5975823402404785,6.700000000000001e-06,0.33
v2,G1_C1,7,20,2.1182,4.058531761169434,3.366666666666667e-06,0.67
v2,G1_C1,7,21,2.1108,2.480397939682007,3.333333333333334e-08,1.0
v2,G1_C1,8,22,2.2936,2.4269797801971436,6.700000000000001e-06,0.33
v2,G1_C1,8,23,2.0951,5.157711982727051,3.366666666666667e-06,0.67
v2,G1_C1,8,24,2.0715,5.153992176055908,3.333333333333334e-08,1.0
v2,G1_C1,9,25,2.1848,4.613901615142822,6.700000000000001e-06,0.33
v2,G1_C1,9,26,2.1175,3.272775888442993,3.366666666666667e-06,0.67
v2,G1_C1,9,27,2.0936,2.9609482288360596,3.333333333333334e-08,1.0
v2,G1_C1,10,28,2.2404,4.618851661682129,6.700000000000001e-06,0.33
v2,G1_C1,10,29,2.1698,5.388534069061279,3.366666666666667e-06,0.67
v2,G1_C1,10,30,2.2004,3.3538436889648438,3.333333333333334e-08,1.0
v2,G1_C2.1,1,1,0.2524,1.1394028663635254,6.700000000000001e-06,0.33
v2,G1_C2.1,1,2,0.1976,0.8908994197845459,3.366666666666667e-06,0.67
v2,G1_C2.1,1,3,0.2339,0.8668649196624756,3.333333333333334e-08,1.0
v2,G1_C2.1,2,4,0.2562,1.4686440229415894,6.700000000000001e-06,0.33
v2,G1_C2.1,2,5,0.2666,1.2190653085708618,3.366666666666667e-06,0.67
v2,G1_C2.1,2,6,0.2661,0.5685219168663025,3.333333333333334e-08,1.0
v2,G1_C2.1,3,7,0.248,0.4093976318836212,6.700000000000001e-06,0.33
v2,G1_C2.1,3,8,0.2394,0.9580245614051819,3.366666666666667e-06,0.67
v2,G1_C2.1,3,9,0.2515,2.046757459640503,3.333333333333334e-08,1.0
