config,area,period,output,metric,value
G1_C2.1,de_lu,2024,point,rmse,2919.633848788703
G1_C2.1,de_lu,2024,point,r2,0.8999657013835198
G1_C2.1,de_lu,2024,point,mae,1870.6742117252636
G1_C2.1,de_lu,2024,point,smape,3.55595105774042
G1_C2.1,de_lu,2024,quantile,wis,1138.4185509141848
G1_C2.1,de_lu,2024,quantile,lqs,569.2092754570924
G1_C2.1,de_lu,2024,quantile,mae_median,1845.8036754110883
G1_C2.1,de_lu,2024,quantile,cov50,51.158356102003644
G1_C2.1,de_lu,2024,quantile,cov95,96.01263661202186
G1_C2.1,de_lu,2024,ensemble,wis,1138.4185509141848
G1_C2.1,de_lu,2024,ensemble,lqs,569.2092754570924
G1_C2.1,de_lu,2024,ensemble,mae_median,1845.8036754110883
G1_C2.1,de_lu,2024,ensemble,cov50,51.158356102003644
G1_C2.1,de_lu,2024,ensemble,cov95,96.01263661202186
G1_C2.1,de_lu,2024,ensemble,crps,1371.152008280703
G1_C2.1,de_lu,2024,ensemble,energy_score,15563.262000446091
G1_C2.1,de_lu,2025,point,rmse,2780.9442086164227
G1_C2.1,de_lu,2025,point,r2,0.909701203432854
G1_C2.1,de_lu,2025,point,mae,1908.2034361655521
G1_C2.1,de_lu,2025,point,smape,3.5957732622344882
G1_C2.1,de_lu,2025,quantile,wis,1134.7515331215752
G1_C2.1,de_lu,2025,quantile,lqs,567.3757665607877
G1_C2.1,de_lu,2025,quantile,mae_median,1885.2261701061645
G1_C2.1,de_lu,2025,quantile,cov50,49.92579908675799
G1_C2.1,de_lu,2025,quantile,cov95,96.11872146118722
G1_C2.1,de_lu,2025,ensemble,wis,1134.7515331215752
G1_C2.1,de_lu,2025,ensemble,lqs,567.3757665607877
G1_C2.1,de_lu,2025,ensemble,mae_median,1885.2261701061645
G1_C2.1,de_lu,2025,ensemble,cov50,49.92579908675799
G1_C2.1,de_lu,2025,ensemble,cov95,96.11872146118722
G1_C2.1,de_lu,2025,ensemble,crps,1376.2220582639768
G1_C2.1,de_lu,2025,ensemble,energy_score,15694.04171092964
G1_C2.1,de_lu,2026H1,point,rmse,3490.84565030994
G1_C2.1,de_lu,2026H1,point,r2,0.8724953009738806
G1_C2.1,de_lu,2026H1,point,mae,2315.631240886588
G1_C2.1,de_lu,2026H1,point,smape,4.286447374567967
G1_C2.1,de_lu,2026H1,quantile,wis,1396.1667198275632
G1_C2.1,de_lu,2026H1,quantile,lqs,698.0833599137816
G1_C2.1,de_lu,2026H1,quantile,mae_median,2288.4588980167905
G1_C2.1,de_lu,2026H1,quantile,cov50,48.88294956140351
G1_C2.1,de_lu,2026H1,quantile,cov95,94.34621710526315
G1_C2.1,de_lu,2026H1,ensemble,wis,1396.1667198275632
G1_C2.1,de_lu,2026H1,ensemble,lqs,698.0833599137816
G1_C2.1,de_lu,2026H1,ensemble,mae_median,2288.4588980167905
G1_C2.1,de_lu,2026H1,ensemble,cov50,48.88294956140351
G1_C2.1,de_lu,2026H1,ensemble,cov95,94.34621710526315
G1_C2.1,de_lu,2026H1,ensemble,crps,1681.6460685400887
G1_C2.1,de_lu,2026H1,ensemble,energy_score,19013.78943384455
G1_C2.1,de_lu,overall,point,rmse,2971.1589944259435
G1_C2.1,de_lu,overall,point,r2,0.8996258148375098
G1_C2.1,de_lu,overall,point,mae,1962.7825190335611
G1_C2.1,de_lu,overall,point,smape,3.698160055246787
G1_C2.1,de_lu,overall,quantile,wis,1181.2716202013094
G1_C2.1,de_lu,overall,quantile,lqs,590.6358101006547
G1_C2.1,de_lu,overall,quantile,mae_median,1938.2983576305328
G1_C2.1,de_lu,overall,quantile,cov50,50.257172517931295
G1_C2.1,de_lu,overall,quantile,cov95,95.76963004907513
G1_C2.1,de_lu,overall,ensemble,wis,1181.2716202013094
G1_C2.1,de_lu,overall,ensemble,lqs,590.6358101006547
G1_C2.1,de_lu,overall,ensemble,mae_median,1938.2983576305328
G1_C2.1,de_lu,overall,ensemble,cov50,50.257172517931295
G1_C2.1,de_lu,overall,ensemble,cov95,95.76963004907513
G1_C2.1,de_lu,overall,ensemble,crps,1426.696363210852
G1_C2.1,de_lu,overall,ensemble,energy_score,16211.296840993158
G1_C2.2,de_lu,2024,point,rmse,2775.1595701803226
G1_C2.2,de_lu,2024,point,r2,0.9096208877392071
G1_C2.2,de_lu,2024,point,mae,1795.2756245223943
G1_C2.2,de_lu,2024,point,smape,3.418788585520227
G1_C2.2,de_lu,2024,quantile,wis,1088.7310889310793
G1_C2.2,de_lu,2024,quantile,lqs,544.3655444655396
G1_C2.2,de_lu,2024,quantile,mae_median,1772.6993443354963
G1_C2.2,de_lu,2024,quantile,cov50,50.025614754098356
G1_C2.2,de_lu,2024,quantile,cov95,95.84471766848816
G1_C2.2,de_lu,2024,ensemble,wis,1088.7310889310793
G1_C2.2,de_lu,2024,ensemble,lqs,544.3655444655396
G1_C2.2,de_lu,2024,ensemble,mae_median,1772.6993443354963
G1_C2.2,de_lu,2024,ensemble,cov50,50.025614754098356
G1_C2.2,de_lu,2024,ensemble,cov95,95.84471766848816
G1_C2.2,de_lu,2024,ensemble,crps,1311.7084154632487
G1_C2.2,de_lu,2024,ensemble,energy_score,14914.727699927334
G1_C2.2,de_lu,2025,point,rmse,2771.4042380384576
G1_C2.2,de_lu,2025,point,r2,0.9103196770220983
G1_C2.2,de_lu,2025,point,mae,1846.269777794167
G1_C2.2,de_lu,2025,point,smape,3.4768197928518214
G1_C2.2,de_lu,2025,quantile,wis,1115.915355024315
G1_C2.2,de_lu,2025,quantile,lqs,557.9576775121575
G1_C2.2,de_lu,2025,quantile,mae_median,1832.6431283213471
G1_C2.2,de_lu,2025,quantile,cov50,49.648972602739725
G1_C2.2,de_lu,2025,quantile,cov95,95.44235159817352
G1_C2.2,de_lu,2025,ensemble,wis,1115.915355024315
G1_C2.2,de_lu,2025,ensemble,lqs,557.9576775121575
G1_C2.2,de_lu,2025,ensemble,mae_median,1832.6431283213471
G1_C2.2,de_lu,2025,ensemble,cov50,49.648972602739725
G1_C2.2,de_lu,2025,ensemble,cov95,95.44235159817352
G1_C2.2,de_lu,2025,ensemble,crps,1349.1667699877446
G1_C2.2,de_lu,2025,ensemble,energy_score,15319.8620284543
G1_C2.2,de_lu,2026H1,point,rmse,3276.0069939017344
G1_C2.2,de_lu,2026H1,point,r2,0.8877065208519705
G1_C2.2,de_lu,2026H1,point,mae,2137.856970857727
G1_C2.2,de_lu,2026H1,point,smape,3.9538545684021513
G1_C2.2,de_lu,2026H1,quantile,wis,1294.6076592418171
G1_C2.2,de_lu,2026H1,quantile,lqs,647.3038296209088
G1_C2.2,de_lu,2026H1,quantile,mae_median,2089.1057170267954
G1_C2.2,de_lu,2026H1,quantile,cov50,49.02001096491228
G1_C2.2,de_lu,2026H1,quantile,cov95,94.09950657894737
G1_C2.2,de_lu,2026H1,ensemble,wis,1294.6076592418171
G1_C2.2,de_lu,2026H1,ensemble,lqs,647.3038296209088
G1_C2.2,de_lu,2026H1,ensemble,mae_median,2089.1057170267954
G1_C2.2,de_lu,2026H1,ensemble,cov50,49.02001096491228
G1_C2.2,de_lu,2026H1,ensemble,cov95,94.09950657894737
G1_C2.2,de_lu,2026H1,ensemble,crps,1558.0445295681748
G1_C2.2,de_lu,2026H1,ensemble,energy_score,17594.707837697304
G1_C2.2,de_lu,overall,point,rmse,2866.113839358664
G1_C2.2,de_lu,overall,point,r2,0.9065977969883443
G1_C2.2,de_lu,overall,point,mae,1875.3268482904211
G1_C2.2,de_lu,overall,point,smape,3.5348830589903115
